"Country","Year","Community_service","Detention_short_or_long_term","Fines","Ignition_interlocks_alcolocks_","License_suspended_revoked","Mandatory_treatment","Penalty_points","Vehicle_impounded"
"Afghanistan","2012","No","Yes","Yes","No","No","No","Yes","No"
"Albania","2012","No","No","Yes","No","Yes","No","No","No"
"Algeria","2012","No","Yes","Yes","No","Yes","Yes","No","Yes"
"Andorra","2012","Yes","Yes","Yes","No","Yes","Yes","No","No"
"Angola","2012","No","Yes","Yes","No","No","No","No","No"
"Antigua and Barbuda","2012","No","No","Yes","No","Yes","No","No","No"
"Argentina","2012","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Armenia","2012","No","No","Yes","No","Yes","No","No","No"
"Australia","2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Austria","2012","No","Yes","Yes","No","Yes","Yes","No","No"
"Azerbaijan","2012","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Bahamas","2012","No","Yes","Yes","No","No","No","No","No"
"Bahrain","2012","","","","","","","",""
"Bangladesh","2012","No","Yes","Yes","No","Yes","No","Yes","No"
"Barbados","2012","No","Yes","Yes","No","Yes","No","No","No"
"Belarus","2012","No","Yes","Yes","No","Yes","No","No","No"
"Belgium","2012","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Belize","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Benin","2012","No","Yes","Yes","No","Yes","No","No","No"
"Bhutan","2012","No","Yes","Yes","No","Yes","Yes","No","No"
"Bolivia (Plurinational State of)","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Bosnia and Herzegovina","2012","No","No","Yes","No","Yes","No","Yes","No"
"Botswana","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Brazil","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Brunei Darussalam","2012","No","Yes","Yes","No","Yes","No","No","No"
"Bulgaria","2012","No","Yes","Yes","No","Yes","No","Yes","No"
"Burkina Faso","2012","No","No","Yes","No","Yes","No","No","Yes"
"Burundi","2012","No","Yes","Yes","No","No","No","No","No"
