"Country","Sobriety_checkpoints","General_population","Young_novice_drivers","commercial_drivers","Community_service","Detention_short_or_long_term","Fines","Ignition_interlocks_alcolocks_","License_suspended_revoked","Mandatory_treatment","Penalty_points","Vehicle_impounded","Random_breath_testing_RBT_use","Patterns_of_drinking_score"
"Afghanistan","No","0","0","0","No","Yes","Yes","No","No","No","Yes","No","No",
"Albania","No","0.05","0.05","0.05","No","No","Yes","No","Yes","No","No","No","Yes","3- medium risky"
"Algeria","Yes","0.02","0.02","0.02","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","2- somewhat risky"
"Andorra","Yes","0.05","0.05","0.02","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","1- least risky"
"Angola","Yes","0.06","0.06","0.06","No","Yes","Yes","No","No","No","No","No","Yes","3- medium risky"
"Antigua and Barbuda","No","0","0","0","No","No","Yes","No","Yes","No","No","No","No","3- medium risky"
"Argentina","No","0.05","0.05",,"No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","2- somewhat risky"
"Armenia","Yes","0.04","0.04","0.04","No","No","Yes","No","Yes","No","No","No","Yes","2- somewhat risky"
"Australia","No","0.05","0","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","2- somewhat risky"
"Austria","Yes","0.05","0.01","0.01","No","Yes","Yes","No","Yes","Yes","No","No","Yes","1- least risky"
"Azerbaijan","No","0","0","0","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","3- medium risky"
"Bahamas","No","0.08","0.08","0.08","No","Yes","Yes","No","No","No","No","No","No","2- somewhat risky"
"Bahrain",,"0","0","0",,,,,,,,,,
"Bangladesh","No","0","0","0","No","Yes","Yes","No","Yes","No","Yes","No","No","3- medium risky"
"Barbados","No","0","0","0","No","Yes","Yes","No","Yes","No","No","No","No","2- somewhat risky"
"Belarus","No","0.03","0.03","0.03","No","Yes","Yes","No","Yes","No","No","No","Yes","4- very risky"
"Belgium","Yes","0.05","0.05","0.05","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","1- least risky"
"Belize","Yes","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","No","Yes","No","4- very risky"
"Benin","No","0.05","0.05","0.05","No","Yes","Yes","No","Yes","No","No","No","Yes","2- somewhat risky"
"Bhutan",,"0.08","0.08","0","No","Yes","Yes","No","Yes","Yes","No","No","Yes",
"Bolivia (Plurinational State of)","No","0","0","0","No","Yes","Yes","No","Yes","No","No","Yes","No","3- medium risky"
"Bosnia and Herzegovina","No","0.03","0","0","No","No","Yes","No","Yes","No","Yes","No","Yes","3- medium risky"
"Botswana","Yes","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","No","Yes","Yes","3- medium risky"
"Brazil","No","0.02","0.02","0.02","No","Yes","Yes","No","Yes","No","No","Yes","No","3- medium risky"
"Brunei Darussalam","Yes","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","No","No","Yes",
"Bulgaria","Yes","0.05","0.05","0.05","No","Yes","Yes","No","Yes","No","Yes","No","Yes","2- somewhat risky"
"Burkina Faso",,"0","0","0","No","No","Yes","No","Yes","No","No","Yes",,"3- medium risky"
"Burundi","Yes","0","0","0","No","Yes","Yes","No","No","No","No","No",,"3- medium risky"
"Cte dIvoire","No","0.08","0.08","0.08","No","Yes","Yes","No","No","No","No","No","No","3- medium risky"
"Cabo Verde","No","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","No","No","No","3- medium risky"
"Cambodia","No","0.05","0.05","0.05","No","No","No","No","No","Yes","No","No","Yes","3- medium risky"
"Cameroon","No","0.08","0.08","0.08","No","No","Yes","No","Yes","No","No","No","Yes","3- medium risky"
"Canada","Yes","0","0","0","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","2- somewhat risky"
"Central African Republic","No","0.08","0.08","0.08","No","Yes","No","No","Yes","No","No","Yes","No","3- medium risky"
"Chad","No","0.05","0.05","0.05","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","3- medium risky"
"Chile","No","0.03","0.03","0.03","No","Yes","Yes","No","Yes","No","No","Yes","Yes","2- somewhat risky"
"China","No","0.02","0.02","0.02","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","2- somewhat risky"
"Colombia","Yes","0.04","0.04","0.04","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","3- medium risky"
"Comoros","No","0","0","0","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes",
"Congo","No","0.08","0.08","0.08","No","No","Yes","No","Yes","No","No","Yes","No","3- medium risky"
"Cook Islands","Yes","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","No","No","Yes","3- medium risky"
"Costa Rica","Yes","0.05","0.05","0.05","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","3- medium risky"
"Croatia","No","0.05","0","0","No","Yes","Yes","No","Yes","No","Yes","No","Yes","3- medium risky"
"Cuba","Yes","0.05","0","0","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","2- somewhat risky"
"Cyprus","No","0.05","0.05","0.05","No","No","Yes","No","No","No","Yes","No","Yes","1- least risky"
"Czech Republic","No","0","0","0","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","3- medium risky"
"Democratic Peoples Republic of Korea",,"0","0","0",,,,,,,,,,
"Democratic Republic of the Congo","No","0.01","0.01","0.01","No","Yes","Yes","No","Yes","Yes","No","Yes","No","3- medium risky"
"Denmark","Yes","0.05","0.05","0.05","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","2- somewhat risky"
"Djibouti",,"0","0","0",,,,,,,,,,"3- medium risky"
"Dominica","No","0","0","0","No","No","No","No","No","No","No","No","No","3- medium risky"
"Dominican Republic","No","0.05","0.03","0.03","No","No","Yes","No","Yes","No","No","No","No","3- medium risky"
"Ecuador","No","0.03","0.03","0.01","No","Yes","Yes","No","No","No","Yes","Yes","Yes","3- medium risky"
"Egypt","No","0","0","0","No","Yes","Yes","No","Yes","No","No","No","No",
"El Salvador","No","0.05","0.05","0.05","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","3- medium risky"
"Equatorial Guinea","No","0.15","0.15","0.15","No","Yes","Yes","No","Yes","No","No","No","Yes","3- medium risky"
"Eritrea","No","0.05","0.05","0.03","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","3- medium risky"
"Estonia","Yes","0.02","0.02","0.02","No","Yes","Yes","No","Yes","No","No","Yes","Yes","3- medium risky"
"Ethiopia","No","0.08","0.08","0.08","No","No","Yes","No","No","No","No","No","No","3- medium risky"
"Fiji","Yes","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","Yes","No","Yes","3- medium risky"
"Finland","Yes","0.05","0.05","0.05","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","3- medium risky"
"France","Yes","0.05","0.05","0.05","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","1- least risky"
"Gabon","No","0.08","0.08","0.08","No","Yes","Yes","No","Yes","No","No","No","No","3- medium risky"
"Gambia","No","0","0","0","No","Yes","Yes","No","Yes","No","No","No","No","3- medium risky"
