Country,Patterns of drinking score
Afghanistan,
Albania,3- medium risky
Algeria,2- somewhat risky
Andorra,1- least risky
Angola,3- medium risky
Antigua and Barbuda,3- medium risky
Argentina,2- somewhat risky
Armenia,2- somewhat risky
Australia,2- somewhat risky
Austria,1- least risky
Azerbaijan,3- medium risky
Bahamas,2- somewhat risky
Bahrain,
Bangladesh,3- medium risky
Barbados,2- somewhat risky
Belarus,4- very risky
Belgium,1- least risky
Belize,4- very risky
Benin,2- somewhat risky
Bhutan,
Bolivia (Plurinational State of),3- medium risky
Bosnia and Herzegovina,3- medium risky
Botswana,3- medium risky
Brazil,3- medium risky
Brunei Darussalam,
Bulgaria,2- somewhat risky
Burkina Faso,3- medium risky
Burundi,3- medium risky
Côte d'Ivoire,3- medium risky
Cabo Verde,3- medium risky
Cambodia,3- medium risky
Cameroon,3- medium risky
Canada,2- somewhat risky
Central African Republic,3- medium risky
Chad,3- medium risky
Chile,2- somewhat risky
China,2- somewhat risky
Colombia,3- medium risky
Comoros,
Congo,3- medium risky
Cook Islands,3- medium risky
Costa Rica,3- medium risky
Croatia,3- medium risky
Cuba,2- somewhat risky
Cyprus,1- least risky
Czech Republic,3- medium risky
Democratic People's Republic of Korea,
Democratic Republic of the Congo,3- medium risky
Denmark,2- somewhat risky
Djibouti,3- medium risky
Dominica,3- medium risky
Dominican Republic,3- medium risky
Ecuador,3- medium risky
Egypt,
El Salvador,3- medium risky
Equatorial Guinea,3- medium risky
Eritrea,3- medium risky
Estonia,3- medium risky
Ethiopia,3- medium risky
Fiji,3- medium risky
Finland,3- medium risky
France,1- least risky
Gabon,3- medium risky
Gambia,3- medium risky
Georgia,2- somewhat risky
Germany,1- least risky
Ghana,3- medium risky
Greece,2- somewhat risky
Grenada,4- very risky
Guatemala,4- very risky
Guinea,
Guinea-Bissau,3- medium risky
Guyana,3- medium risky
Haiti,3- medium risky
Honduras,3- medium risky
Hungary,3- medium risky
Iceland,2- somewhat risky
India,3- medium risky
Indonesia,3- medium risky
Iran (Islamic Republic of),
Iraq,
Ireland,3- medium risky
Israel,2- somewhat risky
Italy,1- least risky
Jamaica,2- somewhat risky
Japan,2- somewhat risky
Jordan,
Kazakhstan,4- very risky
Kenya,3- medium risky
Kiribati,3- medium risky
Kuwait,
Kyrgyzstan,3- medium risky
Lao People's Democratic Republic,3- medium risky
Latvia,3- medium risky
Lebanon,3- medium risky
Lesotho,3- medium risky
Liberia,3- medium risky
Libya,
Lithuania,3- medium risky
Luxembourg,1- least risky
Madagascar,3- medium risky
Malawi,3- medium risky
Malaysia,3- medium risky
Maldives,
Mali,
Malta,1- least risky
Marshall Islands,
Mauritania,
Mauritius,3- medium risky
Mexico,3- medium risky
Micronesia (Federated States of),3- medium risky
Monaco,
Mongolia,3- medium risky
Montenegro,3- medium risky
Morocco,
Mozambique,3- medium risky
Myanmar,
Namibia,4- very risky
Nauru,3- medium risky
Nepal,3- medium risky
Netherlands,1- least risky
New Zealand,2- somewhat risky
Nicaragua,3- medium risky
Niger,
Nigeria,3- medium risky
Niue,3- medium risky
Norway,3- medium risky
Oman,
Pakistan,
Palau,3- medium risky
Panama,3- medium risky
Papua New Guinea,3- medium risky
Paraguay,3- medium risky
Peru,3- medium risky
Philippines,3- medium risky
Poland,3- medium risky
Portugal,1- least risky
Qatar,
Republic of Korea,3- medium risky
Republic of Moldova,4- very risky
Romania,3- medium risky
Russian Federation,5- most risky
Rwanda,3- medium risky
Saint Kitts and Nevis,2- somewhat risky
Saint Lucia,3- medium risky
Saint Vincent and the Grenadines,2- somewhat risky
Samoa,3- medium risky
San Marino,
Sao Tome and Principe,3- medium risky
Saudi Arabia,
Senegal,3- medium risky
Serbia,3- medium risky
Seychelles,3- medium risky
Sierra Leone,3- medium risky
Singapore,2- somewhat risky
Slovakia,3- medium risky
Slovenia,2- somewhat risky
Solomon Islands,3- medium risky
Somalia,
South Africa,4- very risky
Spain,1- least risky
Sri Lanka,3- medium risky
Sudan,3- medium risky
Suriname,3- medium risky
Swaziland,3- medium risky
Sweden,2- somewhat risky
Switzerland,1- least risky
Syrian Arab Republic,
Tajikistan,3- medium risky
Thailand,3- medium risky
The former Yugoslav republic of Macedonia,3- medium risky
Timor-Leste,
Togo,3- medium risky
Tonga,3- medium risky
Trinidad and Tobago,2- somewhat risky
Tunisia,2- somewhat risky
Turkey,3- medium risky
Turkmenistan,3- medium risky
Tuvalu,3- medium risky
Uganda,3- medium risky
Ukraine,5- most risky
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,3- medium risky
United Republic of Tanzania,3- medium risky
United States of America,2- somewhat risky
Uruguay,3- medium risky
Uzbekistan,3- medium risky
Vanuatu,3- medium risky
Venezuela (Bolivarian Republic of),3- medium risky
Viet Nam,3- medium risky
Yemen,
Zambia,3- medium risky
Zimbabwe,4- very risky
