Country,Data Source,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Albania, Data source,,,,,,,2.1,,,,,,,,,,,,,,,,,
Armenia, Data source,,1.5,1.8,1.8,1.6,1.5,1.7,1.7,1.6,1.6,1.6,1.6,1.6,No data,,No data,No data,,1.7,2.2,3.4,2.8,2.8,4
Australia, Data source,,,,2.6,,,,,,2.6,,,,,2.9,,,,,2.9,2.9,,4.1,
Austria, Data source,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,,,,,
Azerbaijan, Data source,,0.5,0.5,0.5,0.6,0.6,,,0.6,,,,,,,,,,0.9,1.1,1.2,1,1.3,1.3
Belarus, Data source,2.5,2.6,2.2,2.2,2.2,2.3,2.3,,2.5,,,,,3.5,,,,,3.3,4.7,5.6,5.4,5.9,7.4
Bhutan, Data source,,4.3,,,,,3.8,,,,,,,,,,,,,,,,,
Canada, Data source,2,2,2,2,2.1,2,2,2,2,2.1,2.1,2.1,2,2.1,2,2.2,2,2,2.2,2.2,2.2,2.2,2.2,2.3
Croatia, Data source,,,1.5,1.5,1.5,No data,1.6,1.6,1.6,,,,,,,,,,,,,,,
Cyprus, Data source,,,,,,,,,,,,,,,,,,,,,,,0.6,
Denmark, Data source,,1.1,1.6,1.6,1.7,1.7,1.7,1.8,1.9,1.9,2.3,2.2,2.3,2.3,2.3,2.3,,,,2.4,,,,
Estonia, Data source,,3,2,2,No data,No data,1.9,1.9,1.9,1.9,2.1,2.1,1.9,2.1,2,1.9,1.9,1.7,,,,,,
Ethiopia, Data source,,,,3.6,,,,,,,,,,,,,,,,,,,,
Finland, Data source,,4.4,4.5,4.7,4.8,4.6,4.7,4.6,4.6,4.8,5.4,5.5,5.4,5.4,5.7,5.6,,,,6.2,6.5,6.9,7,
France, Data source,,,,,,,,1.4,,,,,,,,,,,,,,,,
Georgia, Data source,,,,,,,,,,,,,,,,,,,,,,,1.1,1.3
Greece, Data source,,,,,0.9,0.9,0.9,1,1,1,1,0.9,No data,0.9,,,,,,,,,,
Hungary, Data source,,1,1,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,
