"","","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue","Alcoholic excise tax revenue as a per cent of government revenue"
"Country","Data Source"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"
"Australia"," Data source","","","","","","","","","","","","","","","","","","2.2","","","","","",""
"Austria"," Data source","","","","0.3","0.3","0.3","0.3","","","","","","","","","","","1","","","","","",""
"Belgium"," Data source","","","","","","","","","","","","","","","","","","1.1","","","","","",""
"Canada"," Data source","","","","","","","","","","","","","","","","","","2.3","","","","","",""
"Denmark"," Data source","","0.3","No data","No data","No data","0.5","0.5","0.6","0.6","0.7","0.8","","","","","","","1.4","","","","","",""
"Estonia"," Data source","","3","3","2.9","2.9","2.9","2.8","3.6","4.1","4.1","3.4","3.7","3.5","3.8","","","","","10","","","","",""
"Finland"," Data source","","5","4.9","5.4","5.3","4.3","4.1","4.2","4.2","4.6","5.7","5.5","5.3","4.8","5.3","","","3.5","","","","","","8.4"
"France"," Data source","","","","","","","1.5","1.5","1.6","1.7","1.7","1.7","1.7","1.7","1.8","1.7","1.7","1.7","1.7","1.7","1.8","1.7","1.7","1.8"
"Germany"," Data source","0.6","0.6","0.7","","","","","","","","","","","","","","","1.7","","","","","",""
"Iceland"," Data source","","2.2","2.4","2.4","2.6","2.4","2.4","1.9","2.1","2.3","2.4","","","","","","","","","","","","",""
"India"," Data source","","","","","","","","11.5","11.6","","","","","","","","","","","","","","",""
"Ireland"," Data source","","","","1.7","1.8","","","","","","","","","","","","","5","","","","","",""
"Italy"," Data source","","","","","","","","","","","","","","","","","","0.6","","","","","",""
"Japan"," Data source","","","","","","","","","","","","","","","","","","1.6","","","","","",""
"Luxembourg"," Data source","","","","","","","","","","","","","","","","","","0.6","","","","","",""
"Mali"," Data source","0.4","0.3","","0.3","","","","","","","","","","","","","","","","","","","",""
"Mauritius"," Data source","","6.4","","","2.5","","","","","","","","","","","","","","","","","","",""
"Mexico"," Data source","0.8","","","","","1.2","","","","","","","","","","","","4","","","","","",""
"Mongolia"," Data source","","","2","2.7","3.4","3","2.4","2.3","3","4","4.5","6","6.7","5.8","","","","","","","","","",""
"Nepal"," Data source","","","","","","","","","","","","","","","","","","3.4","","","","","",""
"Netherlands"," Data source","","","","","","","","","","","","","","","","","","1","","","","","",""
"New Zealand"," Data source","","","","","","","","","","","","","","","","","","1.8","1.8","","","","",""
"Norway"," Data source","","","","","","","","","","","","","","","","","","2.1","","","","","",""
"Norway"," Data source","","1","1.1","1.2","1.2","1.1","1.2","1.4","1.6","1.8","1.9","","","","","","","","","","","","",""
"Portugal"," Data source","","","","","","","","","","","","","","","","","","0.9","","","","","",""
"Republic of Korea"," Data source","","1.5","1.3","","","","","","","","","","","","","","","","","","","","",""
"Singapore"," Data source","","","","23","20.4","20.1","20.9","20.7","18.4","18.2","18.7","","","","","","","","","","","","",""
"South Africa"," Data source","1.6","1.7","1.5","1.6","1.5","1.5","","","","","","","","","","","","","","","","","",""
"Spain"," Data source","","","","","","","","","","","","","","","","","","1.8","","","","","",""
"Sri Lanka"," Data source","","","","","","","","","","","","","","","","","","4","","","","","",""
"Sweden"," Data source","","1.6","1.4","1.6","1.8","1.4","1.4","1.3","1.4","1.5","1.7","","","","","","","1.8","","","","","",""
"Switzerland"," Data source","","","","","","","","","","","","","","","","","","0.5","","","","","",""
"United Kingdom of Great Britain and Northern Ireland"," Data source","2.2","No data","2.1","2.2","1.9","1.8","1.9","2","2.1","2.2","2.3","2.2","2.1","2.2","2.2","2.2","2.4","2.6","2.8","2.8","2.9","2.8","2.8","2.8"
"United States of America"," Data source","","","","","","","","","","","","","","","","","","0.8","","","","","",""
"Zimbabwe"," Data source","","","","","","","","","","","6.2","5.2","2.1","2.9","3.1","","","","","","","","",""
